S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2020],Popula&ccedil;&atilde;o estimada - pessoas [2020],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2017],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2018]
Ara&ccedil;oiaba da Serra,3502903,ara&ccedil;oiabano,JOSE CARLOS DE QUEVEDO JUNIOR,255.327,34776,106.88,99.4,776,7.23,13.756.359.258,8.257.797.635,25731.56
Aramina,3503000,araminense,MARIA MADALENA DA SILVA,202.829,5655,25.39,98.7,740,14.49,2.382.600.133,218.444.276,22669.33
Arandu,3503109,aranduense,FLAVIO CARLOMAGNO GALHEGO,285.908,6365,21.42,98.4,685,30.93,3.044.516.322,3.041.449.906,18522.28
Arape&iacute;,3503158,arapeiense,REN&Ecirc; L&Uacute;CIO GON&Ccedil;ALVES,156.903,2460,15.89,98.7,680,71.43,1.529.720.594,1.264.783.575,12390.56
Araraquara,3503208,araraquarense,EDSON ANT&Ocirc;NIO EDINHO DA SILVA,1.003.625,238339,207.90,98.7,815,10.46,81.319.467.742,79.761.315.061,40253.93
Araras,3503307,ararense,PEDRO ELISEU FILHO,644.831,135506,184.30,97.5,781,12.11,543.415.814,47.276.251.826,41863.92
Arco-&Iacute;ris,3503356,arcoirense,ALDO MANSANO FERNANDES,264.904,1773,7.27,99.1,722,33.33,1.487.626.005,1.239.160.573,29273.95
Arealva,3503406,arealvense,ELSON BANUTH BARRETO,506.226,8613,15.53,99.6,744,21.05,2.804.266.791,2.370.469.254,27135.55
Areias,3503505,areiense,PAULO HENRIQUE DE SOUZA COUTINHO,305.227,3896,12.11,96.8,697,21.28,173.399.579,1.591.897.697,11126.84
Arei&oacute;polis,3503604,areiopolitano,ANTONIO MARCOS DOS SANTOS,85.907,11158,123.35,97.3,695,22.90,3.168.303.985,2.765.950.588,12884.23
Ariranha,3503703,ariranhense,JOAMIR ROBERTO BARBOZA,132.624,9761,64.19,99.6,733,25.00,464.712.831,3.979.184.863,76108.12
Artur Nogueira,3503802,nogueirense,LUCAS SIA RISSATO,178.026,55340,248.15,98.3,749,7.36,1.516.913.716,141.937.105,22156.59
Aruj&aacute;,3503901,arujaense,LUIS ANTONIO DE CAMARGO,96.167,91157,779.33,98.2,784,16.32,28.527.824.609,24.738.693.664,69588.09
Asp&aacute;sia,3503950,aspasiense,IVAN DE PAULA,69.373,1818,26.09,97.1,735,-,1.574.694.939,1.347.252.382,19290.58
Assis,3504008,assisense,JOS&Eacute; APARECIDO FERNANDES,460.609,105087,206.70,98.9,805,7.69,35.475.202.841,28.856.658.779,32443.96
Atibaia,3504107,atibaiano,EMIL ONO,478.521,144088,264.57,97.3,765,11.07,48.934.276.239,46.527.938.024,50498.62
Auriflama,3504206,auriflamense,KATIA CONCEI&Ccedil;&Atilde;O MORITA DE CARVALHO,434.498,15253,32.72,98.8,773,5.85,4.395.308.385,3.907.089.907,20155.43
Ava&iacute;,3504305,avaiense,HELLEN FERNANDES RODRIGUES COELHO,540.689,5436,9.18,99.4,714,14.08,2.094.163.736,18.277.667,50644.08
Avanhandava,3504404,avanhandavense,CIRO AUGUSTO MOURA VENERONI,338.370,13859,33.40,97.2,705,6.37,4.796.929.454,4.172.229.587,23782.13
Avar&eacute;,3504503,avareense,JOSELYR BENEDITO COSTA SILVESTRE,1.213.055,91232,68.37,97.9,767,11.49,31.271.850.318,27.855.738.041,30391.62
Bady Bassitt,3504602,badiense,LUIZ ANTONIO TOBARDINI,110.372,17761,132.32,98.5,746,4.65,6.386.975.059,5.503.085.403,20504.81
Balbinos,3504701,balbinense,BENEDITO JACKSON BALANCIERI,91.635,5934,40.40,98.9,669,55.56,1.516.928.571,1.405.214.424,10405.42
B&aacute;lsamo,3504800,balsamense,CARLOS EDUARDO CARMONA LOUREN&Ccedil;O,149.881,9139,54.18,99,756,11.76,2.456.988.605,2.276.147.872,22575.02
Bananal,3504909,bananalense,WILLIAM LANDIM DA SILVA,616.429,10993,16.58,97.1,733,21.28,349.816.939,3.169.134.202,16937.75
Bar&atilde;o de Antonina,3505005,bar&atilde;oense,RODRIGO WALDEMAR MARQUES,153.142,3498,20.35,100,711,17.54,1.639.190.513,1.412.696.188,15482.60
Barbosa,3505104,barbosano,RODRIGO PRIMO ANTUNES,205.212,7468,32.14,98.4,699,11.36,2.318.635.882,2.006.111.119,12939.48
Bariri,3505203,baririense,ABELARDO MAURICIO MARTINS SIMOES FILHO,444.405,35558,71.14,96.3,750,9.98,10.301.158.401,9.291.584.917,33185.53
Barra Bonita,3505302,barra-bonitense,JOSE LUIS RICI,150.121,36126,235.12,99.8,788,13.42,11.563.620.768,1.034.400.716,35500.64
Barra do Chap&eacute;u,3505351,barrense,IVANIL NORBERTO PEREIRA NOLASCO,405.681,5760,12.93,96.9,660,27.78,1.535.893.517,1.645.513.088,14278.54
Barra do Turvo,3505401,barra-turvense,JEFFERSON LUIZ MARTINS,1.007.684,7632,7.67,95.6,641,12.05,3.554.980.915,3.200.527.199,11840.74
Barretos,3505500,barretense,PAULA OLIVEIRA LEMOS,1.566.161,122833,71.60,97.8,789,14.57,52.612.769.013,54.357.856.644,40046.22
Barrinha,3505609,barrinhense,JOSE MARCOS MARTINS,146.025,33180,195.66,97.5,725,8.51,8.134.919.113,7.259.476.774,15960.29
Barueri,3505708,barueriense,RUBENS FURLAN,65.701,276982,3665.21,97.8,786,8.47,274.182.670.456,245.013.078.723,186382.33
Bastos,3505807,bastense,MANOEL IRONIDES ROSA,170.912,20953,118.95,98.5,751,10.34,5.938.025.797,5.041.974.043,45791.98
Batatais,3505906,batataense,LUIS FERNANDO BENEDINI GASPAR JUNIOR,849.526,62980,66.48,97.7,761,14.75,17.411.385.633,15.720.301.525,25636.34
Bauru,3506003,bauruense,SUELLEN SILVA ROSIM,667.684,379297,515.12,96.9,801,12.98,130.295.188.209,117.232.348.483,39121.44
Bebedouro,3506102,bebedourense,LUCAS GIBIN SEREN,683.192,77555,109.81,98.5,780,9.88,21.820.119.978,26.294.413.955,43191.17
Bento de Abreu,3506201,bento-abreuense,JOS&Eacute; LUIZ MAREGA,301.687,3005,8.87,97.9,744,32.26,1.835.707.305,1.617.083.182,56699.61
Bernardino de Campos,3506300,bernardinense,WILSON JOSE GARCIA,244.158,11158,44.12,98.3,734,20.27,3.264.722.923,2.949.533.563,19777.19
Bertioga,3506359,bertioguense,CAIO ARIAS MATHEUS,491.546,64723,97.21,98.1,730,16.27,42.937.428.458,34.953.846.811,27384.29
Bilac,3506409,bilaquense,VITOR OSMAR BOTINI,158.025,8117,44.63,99,768,26.67,2.992.548.339,2.529.308.059,24284.98
Birigui,3506508,biriguiense,LEANDRO MAFFEIS MILANI,530.031,124883,204.79,98,780,14.67,36.395.217.165,35.071.805.117,27268.69
