genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Carcharodon,carcharias,6.35,0.781,4,0,NaN
Carcharodon,chubutensis,20.430,15.970,1,0,NaN
Carcharodon,hastalis,23.030,2.588,10,0,NaN
Carcharodon,hubbelli,6.35,5.47,1,1,0.0909
Carcharodon,plicatilis,11.608,7.246,1,0,NaN
Carcharodon,sp.,11.608,0.012,2,1,1.0000
Carcharodon,subauriculatus,23.030,15.970,4,0,NaN
Carcharrhinus,egertoni,23.030,15.970,1,0,NaN
Cardiatherium,orientalis,9.000,6.800,1,0,NaN
Cardiatherium,sp.,9.000,0.781,4,1,0.5000
Cardiatherium,talicei,9.000,2.588,2,0,NaN
Cardiomys,ameghinorum,6.800,3.000,1,0,NaN
Cardiomys,sp.,9.000,2.588,4,0,NaN
Carditamera,newelli,48.600,35.7,4,0,NaN
Cardita,manteia,23.030,15.970,2,0,NaN
Cardita,morganiana,23.030,15.970,3,0,NaN
Carditella,semen,11.608,7.246,1,0,NaN
Cardium,coutinhoi,23.030,15.970,1,0,NaN
Cardium,hortensium,23.030,15.970,1,0,NaN
Cardium,indistinctum,23.030,15.970,6,0,NaN
Cardium,muliradiatum,11.608,7.246,1,0,NaN
Cardium,philotarium,23.030,15.970,3,0,NaN
Cardium,soaresanum,55.800,48.600,1,0,NaN
Cardium,sp.,23.030,15.970,1,0,NaN
Cardium,squamiferum,11.608,7.246,1,0,NaN
Cardium,suborbicularis,11.608,7.246,1,0,NaN
Cardium,viridarii,23.030,15.970,1,0,NaN
Cargninia,enigmatica,221.500,205.600,1,1,0.0227
Caribachlamys,sentis,23.030,15.970,3,0,NaN
Caririchnium,magnificum,145.500,99.700,2,2,0.7071
Caririemys,violetae,112.600,109.000,1,0,NaN
Caririsuchus,camposi,112.600,109.000,1,1,0.0426
Carodnia,vieirai,58.700,48.600,1,0,NaN
Carolocoutoia,ferigoloi,58.700,48.600,1,0,NaN
Carolopaulacoutoia,itaboraiensis,58.700,48.600,1,0,NaN
Carpocanistrum,azyx,37.200,33.900,1,0,NaN
Carterodon,sulcidens,2.588,0.000,1,0,NaN
Caryocar,recognitum,23.030,15.970,1,0,NaN
Caryocorbula,caribaea,0.126,0.012,1,0,NaN
Caryonosuchus,pricei,84.900,66.043,1,1,1.0000
Caryophyllia,fernandesi,23.030,15.970,2,0,NaN
Cassidulus,sp.,23.030,15.970,2,0,NaN
Cassipourea,brasiliensis,23.030,15.970,1,0,NaN
Cataegis,godineauensis,33.900,7.246,3,0,NaN
Catagonus,sp.,0.126,0.012,4,0,NaN
Catagonus,stenocephalus,0.02,0.02,2,0,NaN
Cathartes,aura,0.126,0.012,1,0,NaN
Cathartes,sp.,0.02798,0.0255,1,1,0.0064
Cathorops,sp.,23.030,15.970,1,0,NaN
Catonyx,cuvieri,0.126,0.012,4,1,1.0000
Catonyx,sp.,2.588,0.012,1,0,NaN
Catonyx,tarijensis,1.200,0.781,2,0,NaN
Catoptrophorus,semipalmatus,0.126,0.012,1,0,NaN
Caupedactylus,ybaka,125.450,112.600,1,0,NaN
Cavia,cabrerai,5.332,3.600,1,1,1.0000
Cavia,sp.,0.0276,0.01758,2,0,NaN
Caviodon,sp.,4,0.781,2,1,0.1667
Cearachelys,placidoi,112.600,109.000,2,2,0.2887
Cearadactylus,atrox,112.600,109.000,1,1,0.0213
Cebuella,sp.,11.800,10.000,1,0,NaN
Cebupithecia,sarmientoi,13.800,5.332,2,0,NaN
Cebus,sp.,11.800,0.5,2,0,NaN
Cedrela,fissilis,3.600,2.588,1,0,NaN
Centrobotrys,gravida,37.200,33.900,1,0,NaN
Centrophorus,sp.,13.650,7.246,2,0,NaN
Centropomus,undecimalis,23.030,15.970,1,0,NaN
Cephalomyopsis,"morphotype 2",29.000,21.000,1,0,NaN
Cephalomyopsis,sp.,29.000,21.000,1,1,0.2000
Cephalomys,bolivianus,29.000,21.000,3,1,0.0018
Ceratodus,sp.,70.600,48.600,2,1,0.0176
Ceratodus,tiguidensis,155.700,145.500,1,1,1.0000
Ceratophrys,sp.,2.588,0.781,1,0,NaN
Ceratoscopelus,warmingii,55.800,48.600,1,0,NaN
Cerdocyon,thous,0.126,0.000,1,0,NaN
Cerithiopsis,lechuzaensis,48.600,37.200,1,0,NaN
Cerithium,americanum,11.608,7.246,1,0,NaN
Cerithium,calcivelatum,23.030,15.970,1,0,NaN
Cerithium,gonzagae,23.030,15.970,1,0,NaN
Cerithium,leei,23.030,15.970,1,0,NaN
Cerithium,pachecoi,23.030,15.970,3,0,NaN
Cerithium,pirabicum,23.030,15.970,3,0,NaN
Cerithium,sp.,23.030,15.970,2,0,NaN
Cerithium,williamsi,23.030,15.970,2,0,NaN
Cerrejonemys,wayuunaiki,61.700,58.700,1,1,0.0294
Cerrejonisuchus,improcerus,61.700,58.700,1,1,0.1176
Cerritosaurus,binsfeldi,235.000,205.600,1,1,1.0000
Cervus,latus,0.126,0.012,1,0,NaN
Chaetophractus,sp.,9.000,6.800,1,0,NaN
Chaetophractus,tarijensis,2.588,0.781,1,0,NaN
Chaetophractus,villosus,3.600,0.781,3,1,0.5000
Chama,agronomica,23.030,15.970,2,0,NaN
Chama,callimorpha,23.030,15.970,1,0,NaN
Chama,capanemensis,23.030,15.970,1,0,NaN
Chama,concinnatus,23.030,15.970,1,0,NaN
Chama,coopericellus,23.030,15.970,1,0,NaN
Chama,daidela,23.030,15.970,3,0,NaN
Chama,eudeiela,23.030,15.970,3,0,NaN
Chama,glendonensis,23.030,15.970,1,0,NaN
Chama,indossolubilis,23.030,15.970,1,0,NaN
Chama,paraensis,23.030,15.970,1,0,NaN
Chama,penthesileae,23.030,15.970,3,0,NaN
Chama,thalassopora,23.030,15.970,1,0,NaN
Chama,thalera,23.030,15.970,1,0,NaN
Chambiramys,shipiborum,28.400,23.030,1,0,NaN
Chambiramys,sylvaticus,28.400,23.030,1,0,NaN
Chapalmalania,alteafrontis,6.800,3.000,1,0,NaN
Charactosuchus,fieldsi,13.800,7.246,3,0,NaN
Charactosuchus,mendesi,11.608,7.246,1,0,NaN
Charactosuchus,sansoai,11.608,7.246,1,0,NaN
Charadreon,eucosmius,15.970,5.332,1,0,NaN
Charadreon,sp.,48.600,37.200,1,0,NaN
Charadrius,semipalmatus,0.126,0.012,1,0,NaN
Charadrius,vociferus,0.02798,0.0255,2,1,0.0064
Chara,sp.,70.600,55.800,3,0,NaN
Chara,subcylindrica,66.043,55.800,1,0,NaN
Chara,tornata,48.600,37.200,1,0,NaN
Charitoceros,tarijensis,2.588,0.781,1,0,NaN
Charruodon,tetracuspidatus,235.000,205.600,1,1,0.2000
Chasicotatus,ameghinoi,11.608,7.246,1,0,NaN
Chasicotatus,sp.,9.000,6.800,2,0,NaN
Chavinziphius,maxillocristatus,7.246,5.332,1,1,0.3333
Chelonoidis,carbonaria,0.126,0.012,1,0,NaN
Chelonoidis,denticulata,0.781,0.012,1,0,NaN
Chelonoidis,gallardoi,6.800,3.000,1,0,NaN
Chelonoidis,lutzae,0.781,0.012,1,0,NaN
Chelonoidis,sp.,13.2,0.012,8,0,NaN
Chelus,colombianus,18.85,7.246,2,0,NaN
Chelus,lewisi,11.608,7.246,2,0,NaN
Chelus,sp.,15.970,11.608,1,0,NaN
Chicoreus,brevifrons,23.030,15.970,5,0,NaN
Chicoreus,yaquensis,23.030,15.970,1,0,NaN
Chilcacetus,cavirhinus,20.430,15.970,1,1,1.0000
Chilenosuchus,forttae,235.000,201.600,1,1,1.0000
Chilocyllium,sp.,84.900,66.043,1,0,NaN
Chiniquodon,sp.,235.000,221.500,1,1,0.1429
Chiniquodon,theotonicus,242.000,235.000,8,6,0.6934
Chione,cancellata,0.126,0.012,1,0,NaN
Chione,paraensis,23.030,15.970,3,0,NaN
Chione,sp.,11.608,7.246,1,0,NaN
Chione,subrostrata,23.030,15.970,2,0,NaN
Chironectes,minimus,2.588,0.000,1,0,NaN
Chironectes,sp.,11.608,7.246,1,1,0.3333
Chlamydoselachus,landinii,13.650,7.246,1,0,NaN
Chlamys,callimorpha,23.030,15.970,4,0,NaN
Chlamys,glendonensis,23.030,15.970,2,0,NaN
Chlamys,indissolubilis,23.030,15.970,2,0,NaN
Chlamys,sentris,23.030,15.970,1,0,NaN
Chlamys,thalera,23.030,15.970,1,0,NaN
Chlamys,thalerus,23.030,15.970,2,0,NaN
Chlorophora,tinctoria,3.600,2.588,1,0,NaN
Choffatia,jupiter,164.700,161.200,2,0,NaN
Cholamys,tetralophodonta,29.000,21.000,1,0,NaN
Chongichthys,dentatus,161.200,155.700,1,0,NaN
Chorobates,scalabrini,6.800,3.000,1,0,NaN
Chorobates,sp.,9.000,6.800,1,0,NaN
Chorus,sp.,3.600,2.588,1,0,NaN
Chrotopterus,auritus,2.588,0.000,1,0,NaN
Chrysocyon,brachyurus,2.588,0.781,2,0,NaN
Chrysocyon,sp.,2.588,0.000,1,0,NaN
Chrysomus,icterocephalus,0.02798,0.0255,1,1,0.0064
Chukimys,favaloroi,3.600,2.588,1,1,1.0000
Chulpasia,mattaueri,58.700,48.600,1,0,NaN
Cibicidoides,sp.,15.970,5.332,1,1,0.0066
Cimolestes,sp.,66.043,61.700,1,0,NaN
Circus,cinereus,0.126,0.012,1,0,NaN
Citharichthys,sp.,23.030,15.970,1,0,NaN
Cladocora,sp.,23.030,15.970,1,0,NaN
Cladocyclus,gardneri,122.460,109.000,1,0,NaN
Cladocyclus,sp.,112.600,99.700,1,0,NaN
Cladodus,sp.,298.900,295.000,1,0,NaN
Cladorca,sp.,23.030,15.970,1,0,NaN
Clathrodrillia,mira,37.200,33.900,1,0,NaN
Clavagella,echinata,23.030,15.970,1,0,NaN
Clementia,dariena,23.030,15.970,5,0,NaN
Clevosaurus,brasiliensis,221.500,205.600,2,2,0.2010
Climatius,enodiscosta,416.000,391.900,1,0,NaN
Clyomys,sp.,2.588,0.000,1,0,NaN
Clypeaster,concavus,23.030,15.970,2,0,NaN
Clypeaster,lamegoi,23.030,15.970,2,0,NaN
Clypeaster,paraensis,23.030,15.970,1,0,NaN
Clypeaster,paulinoi,23.030,15.970,3,0,NaN
Clyptraea,aperta,23.030,15.970,1,0,NaN
Coccyzus,americanus,0.02798,0.0255,1,1,0.0064
Coelodus,toncoensis,70.600,66.043,2,0,NaN
Coelopis,striata,11.608,7.246,1,0,NaN
Coendou,magnus,2.588,0.781,1,0,NaN
Coendou,sp.,3.600,0.012,3,0,NaN
Colbertia,lumbrerense,48.600,37.200,1,0,NaN
Colbertia,magellanica,58.700,48.600,1,0,NaN
Colbertia,sp.,37.200,33.900,1,1,0.0250
Colinus,cristatus,0.02798,0.0255,1,1,0.0127
Colombitherium,tolimense,37.200,33.900,1,0,NaN
Colombophis,portai,16.300,7.246,2,0,NaN
Colombophis,spinosus,15.970,7.246,3,1,0.5000
Colossoma,sp.,48.600,7.246,2,0,NaN
Colubraria,conditorius,23.030,15.970,2,0,NaN
Colubraria,lisboae,23.030,15.970,2,0,NaN
Colubraria,longesperatus,23.030,15.970,2,0,NaN
Colubraria,pachecoi,23.030,15.970,2,0,NaN
Colubraria,paraensis,23.030,15.970,3,0,NaN
Colubraria,pirabensis,23.030,15.970,2,0,NaN
Colubraria,restitutus,23.030,15.970,4,0,NaN
Colubraria,withei,23.030,15.970,2,0,NaN
Columbina,cruziana,0.126,0.012,1,0,NaN
Columbina,sp.,0.02798,0.0255,1,1,0.0064
Compsocerops,sp.,235.000,205.600,1,1,0.5000
Conchocele,adoccasa,33.900,5.332,2,0,NaN
Concholepas,kieneri,6.35,5.47,1,0,NaN
Conepatus,sp.,0.01962,0.01415,1,0,NaN
Conepatus,suffocans,2.588,0.781,2,0,NaN
Conger,sp.,23.030,15.970,1,0,NaN
Coniophis,precedens,58.700,48.600,1,1,0.0017
Coniophis,sp.,66.043,48.600,2,1,1.0000
Coniopternium,primitivum,29.000,21.000,2,0,NaN
Coniopternium,sp.,26.25,26.25,2,2,0.2041
Conus,conditorius,23.030,15.970,1,0,NaN
Conus,lisboae,23.030,15.970,1,0,NaN
Conus,longesperatus,23.030,15.970,2,0,NaN
Conus,pachecoi,23.030,15.970,1,0,NaN
Conus,pirabensis,23.030,15.970,1,0,NaN
Conus,restitutus,23.030,15.970,3,0,NaN
Conus,sp.,23.030,15.970,3,0,NaN
Conus,whitei,23.030,15.970,2,0,NaN
Coquenia,bondi,48.600,37.200,1,1,0.1429
Coquenia,sp.,48.600,37.200,1,1,0.0714
Coragyps,atratus,0.02798,0.0255,2,1,0.0127
Corallus,priscus,58.700,48.600,1,1,0.0651
Corallus,sp.,58.700,48.600,1,1,0.0257
Corbicula,cojitamboensis,15.970,5.332,1,0,NaN
Corbisema,triacantha,18.78,18.78,1,0,NaN
Corbula,agricolae,23.030,15.970,1,0,NaN
Corbula,arrecta,23.030,15.970,1,0,NaN
Corbula,chordata,55.800,15.970,2,0,NaN
Corbula,delgada,23.030,15.970,3,0,NaN
Corbula,giga,23.030,15.970,2,0,NaN
Corbula,mimosa,23.030,15.970,3,0,NaN
Corbula,paracasensis,48.600,37.200,1,0,NaN
Corbula,pauciornata,23.030,15.970,1,0,NaN
Corbula,querida,23.030,15.970,5,0,NaN
Corbula,sp.,55.800,15.970,2,0,NaN
Corbula,vertumni,23.030,15.970,1,0,NaN
Corbula,vieta,23.030,15.970,1,0,NaN
Coringasuchus,anisodontis,105.300,94.300,1,1,0.0370
Cornulina,levifusoides,37.200,33.900,1,0,NaN
Cosmopolitodus,plicatilis,20.430,15.970,1,0,NaN
Costacallista,steinekei,48.600,37.200,1,0,NaN
Cranithlastus,xibiensis,9.000,6.800,1,0,NaN
Crassatella,pedroi,37.2,35.7,1,1,1.0000
Crassatella,rafaeli,37.200,33.900,1,0,NaN
Crassinella,erichseni,23.030,15.970,1,0,NaN
Crassinella,martinicensis,23.030,15.970,1,0,NaN
Crassispira,jamaicensis,23.030,15.970,3,0,NaN
Crassoretitriletes,vanraadshoovenii,23.030,15.970,1,0,NaN
Crassostrea,distans,23.030,15.970,4,0,NaN
Crassostrea,patagonica,11.608,7.246,1,0,NaN
Crassostrea,rhizophorae,0.126,0.012,1,0,NaN
Crassostrea,sp.,15.970,5.332,2,0,NaN
Cratia,gracilis,122.460,112.600,1,0,NaN
Cratoavis,cearensis,125.450,112.600,1,1,1.0000
Cratopipa,novaolindensis,125.450,112.600,1,0,NaN
Crepidula,sp.,55.800,48.600,1,0,NaN
Cretolamna,appendiculata,99.700,66.043,1,1,0.6000
Crisia,sp.,23.030,15.970,1,0,NaN
Cristispira,cochleiformis,37.2,35.7,2,0,NaN
Cristispira,paracasensis,48.600,37.200,3,0,NaN
Crocodylus,falconensis,5.332,3.600,1,0,NaN
Crototricolpites,americanus,23.030,15.970,1,0,NaN
Crototricolpites,annemariae,23.030,15.970,1,0,NaN
Crucibulum,fausta,23.030,15.970,1,0,NaN
Crucibulum,faustum,23.030,15.970,1,0,NaN
Ctenomys,brachyrhinus,2.588,0.781,1,0,NaN
Ctenomys,chapadmalensis,3.600,3.000,2,0,NaN
Ctenomys,praderii,2.588,0.012,1,0,NaN
Ctenomys,sp.,0.0276,0.01758,3,0,NaN
Ctenomys,subassentiens,2.588,0.781,2,0,NaN
Ctenomys,uquiensis,4.000,3.000,1,0,NaN
Ctenosciaena,gracilicirrhus,23.030,15.970,1,0,NaN
Cubitostrea,alvarezii,11.608,7.246,1,0,NaN
Cubitostrea,glucomarides,23.030,15.970,4,0,NaN
Cullinia,sp.,11.608,7.246,1,0,NaN
Cultellus,paraensis,23.030,15.970,1,0,NaN
Cupuladria,canariensis,23.030,15.970,2,0,NaN
Cupuladria,sp.,23.030,15.970,1,0,NaN
Cuvieronius,hyodon,2.588,0.02084,6,0,NaN
Cuvieronius,sp.,0.126,0.012,1,0,NaN
Cuvieronius,tropicus,2.588,0.781,2,0,NaN
Cyclocancer,tuberculatus,23.030,15.970,2,0,NaN
Cycloseris,costulata,23.030,15.970,1,0,NaN
Cylindritella,acuta,23.030,15.970,1,0,NaN
Cylindritella,crassilicata,23.030,15.970,3,0,NaN
Cylindritella,multiplicata,23.030,15.970,1,0,NaN
Cylindritella,pennae,23.030,15.970,1,0,NaN
Cylindritella,truncata,23.030,15.970,3,0,NaN
Cynthiacetus,peruvianus,37.200,33.900,1,1,1.0000
Cyonasua,brevirostris,6.800,3.000,1,0,NaN
Cyonasua,groeberi,9.000,4.000,1,0,NaN
Cyonasua,sp.,11.608,0.781,2,0,NaN
Cypraeacteon,pennae,55.800,15.970,2,0,NaN
Cypraea,paraensis,23.030,15.970,1,0,NaN
Cypraea,pennae,23.030,15.970,5,0,NaN
Cyprideis,amazonica,15.970,5.332,1,1,0.0043
Cyprideis,aulakos,15.970,5.332,1,1,0.0122
Cyprideis,cyrtoma,15.970,5.332,1,1,0.0049
Cyprideis,pebasae,15.970,5.332,1,1,0.0067
Cyprideis,purperi,15.970,5.332,1,1,0.0754
Cyprideis,sp.,15.970,5.332,1,1,0.0033
Cyprideis,"sp. 2",15.970,5.332,1,1,0.0030
Cyprideis,sulcosigmoidalis,15.970,5.332,1,1,0.0061
Cyprinodon,primulus,66.043,55.800,1,0,NaN
Cypris,allportiana,136.400,125.450,1,0,NaN
Cypris,conculcata,136.400,125.450,1,0,NaN
Cypris,montserratensis,136.400,125.450,1,0,NaN
Cypris,sp.,136.400,125.450,1,0,NaN
Cytherea,munsteri,11.608,7.246,1,0,NaN
Cytherella,sp.,70.600,66.043,1,0,NaN
Cytheridella,danielopoli,15.970,5.332,1,1,0.0024
Cytheropteron,subreticulatum,15.970,5.332,1,1,0.0066
Dagasuchus,santacruzensis,235.000,221.500,1,1,0.0476
Dagetella,sudamericana,70.600,66.043,1,0,NaN
Dankomys,simpsoni,5.332,2.588,1,0,NaN
Dastilbe,crandalli,122.460,112.600,2,0,NaN
Dasyatis,branisai,70.600,66.043,1,1,0.0235
Dasyatis,molinoensis,70.600,66.043,1,1,0.0176
Dasyatis,schaefferi,70.600,66.043,1,1,0.0471
Dasyatis,sp.,23.030,7.246,2,0,NaN
Dasypodon,atavus,29.000,21.000,1,0,NaN
Dasypus,novemcinctus,0.02,0.02,2,0,NaN
Dasypus,sabanicola,0.02798,0.0255,1,0,NaN
Dasypus,sp.,0.126,0.012,3,0,NaN
Dasypus,"sp. nov.",9.000,6.800,1,0,NaN
Dasypus,villosus,2.588,0.781,1,0,NaN
Davilla,destituta,23.030,15.970,1,0,NaN
Decuriasuchus,quartacolonia,242.000,235.000,3,2,0.7071
Deinonychus,sp.,145.500,130.000,1,1,1.0000
Delphinus,pernettyi,0.012,0.000,1,0,NaN
Delphinus,sp.,7.246,5.332,1,0,NaN
Dendrocygna,autumnalis,0.02798,0.0255,2,1,0.0064
Dendrocygna,bicolor,0.02798,0.0255,1,1,0.0064
Dendrophyllia,sp.,23.030,15.970,1,0,NaN
Dentalium,paulini,23.030,15.970,3,0,NaN
Derorhynchus,singularis,58.700,48.600,1,0,NaN
Deseadomys,arambourgi,28.400,23.030,1,0,NaN
Desmatochelys,padillai,130.000,122.460,1,0,NaN
Desmodus,draculae,2.588,0.781,1,0,NaN
Desmophyllites,sp.,84.900,66.043,1,1,0.5000
Devincenzia,gallinali,29.000,21.000,1,0,NaN
Diaphus,garmani,55.800,5.332,2,0,NaN
Diaphus,perspicillatoides,2.588,0.000,1,0,NaN
Diaphus,problematicus,23.030,15.970,1,0,NaN
Diaphus,regani,23.030,15.970,1,0,NaN
Diaphus,sp.,23.030,15.970,1,0,NaN
Diaphus,splendidus,55.800,48.600,1,0,NaN
Diapterus,sp.,23.030,15.970,1,0,NaN
Dicolpomys,fossor,2.588,0.000,1,0,NaN
Dicotyles,major,2.588,0.781,1,0,NaN
Dictyoprora,amphora,37.200,33.900,1,0,NaN
Dictyoprora,mongolfieri,37.200,33.900,1,0,NaN
Dictyoprora,pirum,37.200,33.900,1,0,NaN
Dictyoprora,urceolus,37.200,33.900,1,0,NaN
Dicynodon,tener,242.000,235.000,6,0,NaN
Dicynodon,turpior,242.000,235.000,12,1,0.5000
Didelphis,solimoensis,11.608,7.246,1,0,NaN
Didelphis,sp.,1.0,0.0255,2,0,NaN
Didelphopsis,cabrerai,58.700,48.600,1,0,NaN
Didymograptus,suecicus,478.600,471.800,1,0,NaN
Dignomia,munsterii,460.900,449.500,1,0,NaN
Dinodontosaurus,pedroanum,242.000,235.000,8,6,0.7071
Dinodontosaurus,sp.,242.000,235.000,1,0,NaN
Diodon,ferreirai,23.030,15.970,3,0,NaN
Diodora,derbyi,23.030,15.970,4,0,NaN
Diodora,immortalis,23.030,15.970,2,0,NaN
Diodora,patagonica,0.126,0.012,1,0,NaN
Diogenornis,fragilis,58.700,48.600,1,0,NaN
Dioplotherium,allisoni,23.030,15.970,6,1,0.7500
Dioplotherium,sp.,11.608,5.332,1,1,1.0000
Diospyros,sculpta,23.030,15.970,1,0,NaN
Diplodon,sp.,155.700,5.332,2,0,NaN
Discotrochus,sp.,23.030,15.970,2,0,NaN
Distephanopsis,crux,18.78,18.78,1,0,NaN
Divaricella,castelensis,23.030,15.970,1,0,NaN
Doedicurus,clavicaudatus,2.588,0.012,1,0,NaN
Doedicurus,sp.,0.126,0.012,2,0,NaN
Doellotatus,chapadmalensis,4.000,3.000,2,0,NaN
Doellotatus,sp.,29.000,5.332,2,0,NaN
Dolichochampsa,minima,70.600,66.043,2,2,1.0000
Dolichostylodon,saltensis,48.600,37.200,1,1,0.0714
Dolichotis,sp.,5.332,2.588,1,0,NaN
Dosinia,coloradoensis,48.600,37.200,1,0,NaN
Dosinia,concentrica,23.030,15.970,6,0,NaN
Dosinia,delicatissima,55.800,15.970,2,0,NaN
Dosinia,lechuzaensis,48.600,35.7,3,0,NaN
Dosinia,sp.,6.35,5.47,1,0,NaN
Dracaena,colombiana,16.300,11.800,11,7,0.5993
Drillia,concors,23.030,15.970,1,0,NaN
Drillia,crandalli,23.030,15.970,1,0,NaN
Drillia,pirabica,23.030,15.970,1,0,NaN
Dromaeopodus,sp.,84.900,70.600,1,1,0.9167
Drypetes,capanemensis,23.030,15.970,1,0,NaN
Drytomomys,aequatorialis,13.800,11.800,7,0,NaN
Drytomomys,sp.,11.608,7.246,2,0,NaN
Dusicyon,avus,0.12,0.043,2,0,NaN
Dusicyon,culpaeus,2.588,0.012,1,0,NaN
Dusicyon,sechurae,0.781,0.012,1,0,NaN
Dusicyon,sp.,1.200,0.781,1,0,NaN
Dyris,lintea,23.030,5.332,2,1,0.5000
Dyris,sp.,23.030,15.970,1,0,NaN
Echimys,sp.,0.02798,0.0255,1,0,NaN
Echinolampas,atascaderensis,55.800,33.900,1,0,NaN
Echinolampas,oliveirai,23.030,15.970,1,0,NaN
Echinolampas,paraensis,23.030,15.970,1,0,NaN
Echitricolporites,maristellae,23.030,15.970,1,0,NaN
Eionaletherium,tanycnemius,15.970,5.332,1,0,NaN
Eira,barbara,0.781,0.012,1,0,NaN
Elbretornis,bonapartei,70.600,66.043,1,0,NaN
Elbretornis,sp.,70.600,66.043,1,0,NaN
Elessaurus,gondwanoccidens,252.300,247.200,1,1,0.3333
Ellimma,cruzi,125.450,112.600,1,0,NaN
Elliptiolucina,sp.,11.608,5.332,1,0,NaN
Elongatolucina,sp.,33.900,28.400,2,0,NaN
Emys,paranensis,11.608,7.246,1,0,NaN
Enantiornis,leali,70.600,66.043,1,1,0.1111
Enantiornis,sp.,70.600,66.043,1,0,NaN
Enchodus,oliveirai,66.043,61.700,1,0,NaN
Enchodus,sp.,70.600,66.043,1,0,NaN
Enchodus,subaequilateralis,99.700,66.043,1,0,NaN
Endlicheria,neotropica,23.030,15.970,1,0,NaN
Endothiodon,sp.,268.000,254.000,1,1,1.0000
Engraulis,sp.,37.2,35.7,1,0,NaN
Ensidelphis,riveroi,20.430,15.970,1,0,NaN
Eoastrapostylops,riolorense,58.700,55.800,1,0,NaN
Eobranisamys,riverai,37.200,33.900,1,0,NaN
Eobranisamys,romeropittmanae,37.200,33.900,1,0,NaN
Eobranisamys,sp.,48.600,37.200,1,0,NaN
Eobrasilia,coutoi,58.700,48.600,1,0,NaN
Eocaiman,itaboraiensis,58.700,48.600,1,0,NaN
Eocaiman,sp.,13.800,11.800,2,0,NaN
Eocoleophorus,glyptodontoides,43.44,21.000,2,0,NaN
Eocoleophorus,sp.,29.000,21.000,1,0,NaN
Eodelphomys,almeidacomposi,37.200,33.900,1,1,0.0182
Eodolichotis,elachys,13.800,11.800,2,0,NaN
Eodolichotis,maddeni,13.800,11.800,3,0,NaN
Eodolichotis,sp.,13.800,11.800,1,0,NaN
Eoespina,sp.,48.600,33.900,3,0,NaN
Eoespina,woodi,37.200,33.900,1,0,NaN
Eohiodon,sp.,66.043,61.700,1,0,NaN
Eohyrax,rusticus,48.000,42.000,1,0,NaN
Eoincamys,ameghinoi,37.200,33.900,1,0,NaN
Eoincamys,parvus,33.900,28.400,3,0,NaN
Eoincamys,pascuali,37.200,28.400,3,0,NaN
Eoincamys,sp.,33.900,28.400,2,0,NaN
Eoincamys,valverdei,33.900,28.400,4,0,NaN
Eonatator,coellensis,84.900,70.600,1,0,NaN
Eopachyrucos,ranchoverdensis,29.000,21.000,2,2,1.0000
Eopicure,kraglievichi,37.200,33.900,1,0,NaN
Eopleurotoma,paracasina,48.600,37.200,1,0,NaN
Eopululo,wigmorei,37.200,33.900,1,0,NaN
Eosachacui,lavocati,37.200,33.900,1,0,NaN
Eosallamys,paulacoutoi,37.200,33.900,1,0,NaN
Eosallamys,simpsoni,37.200,33.900,1,0,NaN
Eosallamys,sp.,28.400,23.030,1,0,NaN
Eosclerocalyptus,planus,9.000,3.000,3,0,NaN
Eosclerocalyptus,sp.,11.608,2.588,1,0,NaN
Eotypotherium,chico,17.500,16.300,1,0,NaN
Eoviscaccia,boliviana,29.000,21.000,1,0,NaN
Eoviscaccia,sp.,29.000,21.000,3,2,0.3162
Epicrates,sp.,11.608,7.246,1,1,0.1250
Epidolops,ameghinoi,58.700,48.600,2,0,NaN
Epieuryceros,truncus,0.781,0.126,1,0,NaN
Epigondolella,mosheri,212.000,201.600,2,0,NaN
Epinephelus,itajara,23.030,5.332,1,0,NaN
Epipatriarchus,bifidens,11.800,10.000,1,0,NaN
Epipatriarchus,innexus,11.800,10.000,1,0,NaN
Epipeltephilus,caraguensis,11.608,7.246,1,0,NaN
Epitonium,peruvianum,48.600,37.200,2,0,NaN
Eptesicus,fuscus,0.02798,0.0255,1,0,NaN
Equetus,davidandrewi,23.030,15.970,1,0,NaN
Equetus,punctatus,23.030,15.970,1,0,NaN
Equus,andium,2.588,0.781,11,0,NaN
Equus,caballus,2.588,0.012,9,0,NaN
Equus,insulatus,2.588,0.012,2,0,NaN
Equus,martinei,2.588,0.012,4,0,NaN
Equus,santaeelenae,0.02798,0.015,3,0,NaN
Equus,sp.,2.588,0.01415,11,0,NaN
Eremotherium,elenense,0.781,0.012,1,0,NaN
Eremotherium,laurillardi,0.063,0.000,18,0,NaN
Eremotherium,sefvei,0.126,0.012,1,0,NaN
Eremotherium,sp.,1.0,0.0255,5,0,NaN
Ereunetes,mauri,0.126,0.012,1,0,NaN
Ereunetes,pusillus,0.126,0.012,1,0,NaN
Ernestokokenia,sp.,37.200,33.900,1,1,0.0250
Erythrina,cristagalli,3.600,2.588,1,0,NaN
Estesiella,boliviensis,66.043,61.700,1,0,NaN
Etayoa,bacatensis,58.700,48.600,1,0,NaN
Eubalaena,australis,1.806,0.781,1,1,0.3333
Eubalaena,sp.,0.012,0.000,1,0,NaN
Eubrontes,platypus,145.500,130.000,1,1,1.0000
Eumegamys,paranensis,11.608,7.246,1,0,NaN
Eumegamys,sp.,3.600,2.588,1,0,NaN
Eumetopias,flavescens,0.012,0.000,1,0,NaN
