"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/list.csv?datainfo&rowcount&cc=SOA"
"Access Time","Tue 2020-10-20 21:51:40 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","cc","SOA"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","6"
"Records Found","10631"
"Records Returned","10631"
"Records:"
"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"103670","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, upper molar 2","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103671","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, upper molar 3","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103672","spm","","1087944","0","136498","MCL-2643-1","paratype","","","Cranium, upper incisor 1","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103673","spm","","1087944","0","136498","MCL-2643-1","paratype","","","Cranium, upper incisor 2","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103674","spm","","1087944","0","136498","MCL-2643-1","paratype","","","Cranium, upper incisor 3","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103675","spm","","1087944","0","136498","MCL-2643-1","paratype","","","Cranium, upper premolar 1","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103676","spm","","1087944","0","136498","MCL-2643-1","paratype","","","Cranium, upper premolar 3","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103677","spm","","1087944","0","136498","MCL-2643-1","paratype","","","Cranium, upper premolar 4","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103678","spm","","1087944","0","136498","MCL-2643-1","paratype","","","Cranium, upper molar 1","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103679","spm","","1087944","0","136498","MCL-2643-1","paratype","","","Cranium, upper molar 2","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103680","spm","","1087944","0","136498","MCL-2643-1","paratype","","","Cranium, upper molar 3","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103681","spm","","1087944","0","136498","MCL-2644-2","holotype","","","Cranium, lower incisor 2","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103682","spm","","1087944","0","136498","MCL-2644-2","holotype","","","Cranium, lower incisor 3","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103683","spm","","1087944","0","136498","MCL-2644-2","holotype","","","Cranium, lower canine","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103684","spm","","1087944","0","136498","MCL-2644-2","holotype","","","Cranium, lower premolar 1","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103685","spm","","1087944","0","136498","MCL-2644-2","holotype","","","Cranium, lower premolar 2","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103686","spm","","1087944","0","136498","MCL-2644-2","holotype","","","Cranium, lower premolar 3","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103687","spm","","1087944","0","136498","MCL-2644-2","holotype","","","Cranium, lower premolar 4","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103688","spm","","1087944","0","136498","MCL-2644-2","holotype","","","Cranium, lower molar 1","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103689","spm","","1087944","0","136498","MCL-2644-2","holotype","","","Cranium, lower molar 2","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103690","spm","","1087944","0","136498","MCL-2644-2","holotype","","","Cranium, lower molar 3","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103691","spm","","1087944","0","136498","MCL-3577","","","","Cranium, lower premolar 1","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103692","spm","","1087944","0","136498","MCL-3577","","","","Cranium, lower premolar 2","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103693","spm","","1087944","0","136498","MCL-3577","","","","Cranium, lower premolar 3","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103694","spm","","1087944","0","136498","MCL-3577","","","","Cranium, lower premolar 4","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103695","spm","","1087944","0","136498","MCL-3577","","","","Cranium, lower molar 1","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103696","spm","","1087944","0","136498","MCL-3577","","","","Cranium, lower molar 2","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103697","spm","","1087944","0","136498","MCL-3577","","","","Cranium, lower molar 3","","1","table","","Length represents a linguovestibular measurement, whereas width represents a mesiodistal measurement","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103698","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, Total length","","1","table","","Measured from ventral rostral margin to caudal margin of occipital condyles","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103699","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, palatal width between canines","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103700","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, palatal width between upper PM1","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103701","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, palatal width between upper M1","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103702","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, palatal width between upper M3","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103703","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, choanal width at level of distal facet of M3","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103704","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, width between lateral margins of postglenoid processes","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103705","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, basisphenoid width at level of carotid foramina","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103706","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, basioccipital width at level of condiloid foramina","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103707","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, intercondylar maximum width","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103708","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, maximum ventral width of foramen magnum","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103709","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, maximum distance between lateral facets of paraoccipital processes","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103710","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, length from rostral facet of paraoccipital process to median border of ","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103711","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, length form caudal margin of palatine to rostral margin of cranium","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103712","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, length from caudal palatine margin to caudal margin of occipital condyl","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103713","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, distance from infraorbital foramen to rostral margin","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103714","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, distance from infraorbital foramen to rostral margin of orbit","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103715","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, distance from infraorbital foramen to alveolar margin of M3","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103716","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, orbital perpendicular diameter","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103717","spm","","1087944","0","136498","MCL-2644-1","holotype","","","Cranium, orbital longitudinal diameter","","1","table","","","Xenorhinotherium bahiense","species","251738","","Xenorhinotherium bahiense","species","251738","0.126","0.0117","43716"
"103718","spm","","1088124","0","136714","UFAC 4561","holotype","","","Vental skull length","","1","table","","Ventral skull length from mesethmoid tip to edge of attachment scar of ossified Baudelot's ligament","Phractocephalus acreornatus","species","251792","","Phractocephalus acreornatus","species","251792","11.608","5.333","43724"
"103719","spm","","1088124","0","136714","UFAC 4561","holotype","","","Dorsal skull length","","1","table","","Dorsal skull length from mesethmoid tip to posterior edge of ornament of the supraoccipital process","Phractocephalus acreornatus","species","251792","","Phractocephalus acreornatus","species","251792","11.608","5.333","43724"
"103720","spm","","1088124","0","136714","UFAC 4561","holotype","","","Minimum mesethmoid width","","1","table","","Minimum mesethmoid width across ventral surface behind cornua","Phractocephalus acreornatus","species","251792","","Phractocephalus acreornatus","species","251792","11.608","5.333","43724"
"103721","spm","","1088124","0","136714","UFAC 4561","holotype","","","Mesethmoid ornament","","1","table","","Width of ornamented dorsal surface of mesethmoid","Phractocephalus acreornatus","species","251792","","Phractocephalus acreornatus","species","251792","11.608","5.333","43724"
"103722","spm","","1088124","0","136714","UFAC 4561","holotype","","","Width at lateral ethmoid","","1","table","","Width of skull at lateral ethmoid wings","Phractocephalus acreornatus","species","251792","","Phractocephalus acreornatus","species","251792","11.608","5.333","43724"
"103723","spm","","1088124","0","136714","UFAC 4561","holotype","","","Width at interorbital","","1","table","","Width of skull at orbits along lateral ethmoid","Phractocephalus acreornatus","species","251792","","Phractocephalus acreornatus","species","251792","11.608","5.333","43724"
"103724","spm","","1088124","0","136714","UFAC 4561","holotype","","","Prevomer width","","1","table","","Prevomer width across anterior edge","Phractocephalus acreornatus","species","251792","","Phractocephalus acreornatus","species","251792","11.608","5.333","43724"
"103725","spm","","1088124","0","136714","UFAC 4561","holotype","","","Parasphenoid width","","1","table","","Parasphenoid width below trigeminofacial foramina","Phractocephalus acreornatus","species","251792","","Phractocephalus acreornatus","species","251792","11.608","5.333","43724"
"103726","spm","","1088124","0","136714","UFAC 4561","holotype","","","Hyomandibula facet length","","1","table","","Hyomandibular facet length","Phractocephalus acreornatus","species","251792","","Phractocephalus acreornatus","species","251792","11.608","5.333","43724"
"103727","spm","F","1087550","0","136505","","","","","Pollen grain","","1","text","","Equatorial diameter (10 samples). New specimens found, allow to extend previous measurements","Retitricolporites chubutensis","species","251818","","Retitricolporites chubutensis","species","251818","66","56","43634"
"103728","spm","F","1087550","0","136505","","","","","Pollen grain","","1","text","","Polar diameter (13 samples). New specimens found, allow to extend previous measurements","Retitricolporites chubutensis","species","251818","","Retitricolporites chubutensis","species","251818","66","56","43634"
"103729","spm","F","1087550","0","136505","","","","","Exine","","1","text","","Width in ecuador. New specimens found, allow to extend previous measurements","Retitricolporites chubutensis","species","251818","","Retitricolporites chubutensis","species","251818","66","56","43634"
"103730","spm","F","1087550","0","136505","","","","","Exine","","1","text","","Witdh in poles. New specimens found, allow to extend previous measurements","Retitricolporites chubutensis","species","251818","","Retitricolporites chubutensis","species","251818","66","56","43634"
"103731","spm","F","1087550","0","136505","","","","","Pores","","1","text","","New specimens found, allow to extend previous measurements","Retitricolporites chubutensis","species","251818","","Retitricolporites chubutensis","species","251818","66","56","43634"
"103732","spm","F","1087550","0","136505","","","","","Lumens","","1","text","","New specimens found, allow to extend previous measurements","Retitricolporites chubutensis","species","251818","","Retitricolporites chubutensis","species","251818","66","56","43634"
"103734","spm","","688693","0","74056","IPI 3437","","","","valve","","1","table","1","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103735","spm","","688693","0","74056","IPI 3439","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103736","spm","","688693","0","74056","IPI 3440","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103737","spm","","688693","0","74056","IPI 3441","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103738","spm","","688693","0","74056","IPI 3442","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103739","spm","","688693","0","74056","IPI 3443","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103740","spm","","688693","0","74056","IPI 3444","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103741","spm","","688693","0","74056","IPI 3445","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103742","spm","","688693","0","74056","IPI 3446","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103743","spm","","688693","0","74056","IPI 3447","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103744","spm","","688693","0","74056","IPI 3448","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103745","spm","","688693","0","74056","IPI 3449","holotype","","","valve","","1","table","","NEOTYPE - Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103746","spm","","688693","0","74056","IPI 3450","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103747","spm","","688693","0","74056","IPI 3451","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103748","spm","","688693","0","74056","IPI 3452","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103749","spm","","688693","0","74056","IPI 3453","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103750","spm","","688693","0","74056","IPI 3454","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103751","spm","","688693","0","74056","IPI 3455","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103752","spm","","688693","0","74056","IPI 3456","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103753","spm","","688693","0","74056","IPI 3457","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103754","spm","","688693","0","74056","IPI 3458","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103755","spm","","688693","0","74056","IPI 3459","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103756","spm","","688693","0","74056","IPI 3460","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103757","spm","","688693","0","74056","IPI 3461","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103758","spm","","688693","0","74056","IPI 3470","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103759","spm","","688693","0","74056","IPI 3473","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103760","spm","","688693","0","74056","IPI 3475","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103761","spm","","688693","0","74056","IPI 3476","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103762","spm","","688693","0","74056","IPI 3477","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103763","spm","","688693","0","74056","IPI 3478","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103764","spm","","688693","0","74056","IPI 3486","","","","valve","","1","table","","Measurements from Cisterna and Isaacson 2003 Alcheringa","Camarotoechia chavelensis","species","251648","recombined as","Azurduya chavelensis","species","251648","358.9","323.2","43670"
"103765","spm","","1087774","0","136609","IPI 3489","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103766","spm","","1087774","0","136609","IPI 3490","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103767","spm","","1087774","0","136609","IPI 3491","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103768","spm","","1087774","0","136609","IPI 3495","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103769","spm","","1087774","0","136609","IPI 3498","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103770","spm","","1087774","0","136609","IPI 3499","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103771","spm","","1087774","0","136609","IPI 3500","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103772","spm","","1087774","0","136609","IPI 3600","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103773","spm","","1087774","0","136609","IPI 3601","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103774","spm","","1087774","0","136609","IPI 3602","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103775","spm","","1087774","0","136609","IPI 3603","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103776","spm","","1087774","0","136609","IPI 3604","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103777","spm","","1087774","0","136609","IPI 3605","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103778","spm","","1087774","0","136609","IPI 3608","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103779","spm","","1087774","0","136609","IPI 3609","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103780","spm","","1087774","0","136609","IPI 3610","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103781","spm","","1087774","0","136609","IPI 3621","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103782","spm","","1087774","0","136609","IPI 3413","paratype","","","valve","","1","table","","","Azurduya cingolanii","species","251656","","Azurduya cingolanii","species","251656","358.9","346.7","43670"
"103844","spm","","1088367","0","136767","MCN.USB OL-2142","holotype","","","Vental skull length","","1","","","Ventral skull length from mesethmoid tip to edge of attachment scar of ossified Baudelot's ligament","Phractocephalus nassi","species","251832","","Phractocephalus nassi","species","251832","11.608","5.333","43734"
"103845","spm","","1088367","0","136767","MCN.USB OL-2142","holotype","","","Dorsal skull length","","1","","","Dorsal skull length from mesethmoid tip to posterior edge of ornament of the supraoccipital process","Phractocephalus nassi","species","251832","","Phractocephalus nassi","species","251832","11.608","5.333","43734"
"103846","spm","","1088367","0","136767","MCN.USB OL-2142","holotype","","","Minimum mesethmoid width","","1","","","Minimum mesethmoid width across ventral surface behind cornua","Phractocephalus nassi","species","251832","","Phractocephalus nassi","species","251832","11.608","5.333","43734"
"103847","spm","","1088367","0","136767","MCN.USB OL-2142","holotype","","","Mesethmoid ornament","","1","","","Width of ornamented dorsal surface of mesethmoid","Phractocephalus nassi","species","251832","","Phractocephalus nassi","species","251832","11.608","5.333","43734"
"103848","spm","","1088367","0","136767","MCN.USB OL-2142","holotype","","","Width at lateral ethmoid","","1","","","Width of skull at lateral ethmoid wings","Phractocephalus nassi","species","251832","","Phractocephalus nassi","species","251832","11.608","5.333","43734"
"103849","spm","","1088367","0","136767","MCN.USB OL-2142","holotype","","","Width at interorbital","","1","","","Width of skull at orbits along lateral ethmoid","Phractocephalus nassi","species","251832","","Phractocephalus nassi","species","251832","11.608","5.333","43734"
"103850","spm","","1088367","0","136767","MCN.USB OL-2142","holotype","","","Prevomer width","","1","","","Prevomer width across anterior edge","Phractocephalus nassi","species","251832","","Phractocephalus nassi","species","251832","11.608","5.333","43734"
