collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,10_my_bin
13079,PaleoDB,"M. Uhen",,Herminespina,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Concholepas,,kieneri,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Anadara,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Dosinia,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Amantis,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Spheniscus,,humboldti,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Fulmarus,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Pelagornis,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Sula,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Piscogavialis,,jugaliperforatus,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Otodus,,megalodon,,Carcharocles,,megalodon,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Hydrarctos,,lomasiensis,,Arctocephalus,,lomasiensis,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Thalassocnus,"n. sp.",littoralis,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Spheniscus,"n. sp.",urbinai,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Carcharodon,"n. sp.",hubbelli,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Carcharhinus,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Scaphokogia,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Hadrokirus,"n. sp.",martini,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Ramphastosula,,aguierrei,,,,,11891,"Cenozoic 6"
13081,Fossilworks,"J. Alroy",,Proargyrolagus,,bolivianus,,,,,4304,
13081,Fossilworks,"J. Alroy",,Prohegetotherium,,schiaffinoi,,,,,4304,
13081,Fossilworks,"J. Alroy",,Sallatherium,,altiplanense,,,,,4304,
13081,Fossilworks,"J. Alroy",,Federicoanaya,,sallaensis,,,,,4304,
13081,Fossilworks,"J. Alroy",,Asteromys,,bolivianus,,,,,4304,
13209,ETE,"M. Carrano","n. gen.",Unquillosaurus,"n. sp.",ceibalii,,,,,4386,"Cretaceous 7"
13209,ETE,"M. Carrano",?,Titanosaurus,,sp.,,Laplatasaurus,,sp.,4386,"Cretaceous 7"
13210,PaleoDB,"M. Carrano",,Pucapristis,,branisi,,,,,4386,"Cretaceous 8"
13220,Fossilworks,"J. Alroy","n. gen.",Therioherpeton,"n. sp.",cargnini,,,,,4389,
13220,Fossilworks,"J. Alroy",,Prozostrodon,"n. sp.",brasiliensis,,Thrinaxodon,"n. sp.",brasiliensis,4389,
13220,Fossilworks,"J. Alroy",,Hyperodapedon,,mariensis,,Scaphonyx,,fischeri,4389,
13276,Fossilworks,"J. Alroy",,Glyptatelus,,sp.,,,,,6438,
13276,Fossilworks,"J. Alroy",,Prohegetotherium,,sp.,,,,,6438,
13276,Fossilworks,"J. Alroy","n. gen.",Eoviscaccia,"n. sp.",boliviana,cf.,Scotamys,,sp.,6438,
13276,Fossilworks,"J. Alroy",,Cephalomyopsis,informal,"morphotype 2",,Eocardiidae,,indet.,6438,
13276,Fossilworks,"J. Alroy",,Trachytherus,,spegazzinianus,,Trachytherus,cf.,spegazzinianus,6438,
13306,PaleoDB,"J. Hunter","n. gen.",Yacoraitichnus,"n. sp.",avis,,,,,6049,"Cretaceous 8"
13306,PaleoDB,"J. Hunter","n. gen.",Salfitichnus,"n. sp.",mentoor,,,,,6049,"Cretaceous 8"
13306,PaleoDB,"J. Hunter","n. gen.",Taponichnus,"n. sp.",donottoi,,,,,6049,"Cretaceous 8"
13306,PaleoDB,"J. Hunter","n. gen.",Telosichnus,"n. sp.",saltensis,,,,,6049,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Enantiornis,"n. sp.",leali,,,,,55175,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Lectavis,"n. sp.",bretincola,,,,,55175,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Soroavisaurus,"n. sp.",australis,,,,,55175,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Yungavolucris,"n. sp.",brevipedalis,,,,,55175,"Cretaceous 8"
13307,ETE,"J. Hunter",,Martinavis,,sp.,,,,,55175,"Cretaceous 8"
13307,ETE,"J. Hunter",,Enantiornis,,sp.,,,,,55175,"Cretaceous 8"
13307,ETE,"J. Hunter",,Martinavis,"n. sp.",saltariensis,,,,,55175,"Cretaceous 8"
13307,ETE,"J. Hunter",,Martinavis,"n. sp.",minor,,,,,55175,"Cretaceous 8"
13307,ETE,"J. Hunter",,Martinavis,"n. sp.",whetstonei,,,,,55175,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Elbretornis,"n. sp.",bonapartei,,,,,55175,"Cretaceous 8"
13307,ETE,"J. Hunter",,Elbretornis,,sp.,,,,,55175,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Saltasaurus,"n. sp.",loricatus,,Atlantosauridae,,indet.,55175,"Cretaceous 8"
13307,ETE,"J. Hunter","n. gen.",Noasaurus,"n. sp.",leali,,Coelurosauria,,indet.,55175,"Cretaceous 8"
